OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocm06846181,http://www.worldcat.org/oclc/6846181,,,Montana Magazine : 2011 May / June.,1026.G.1,"Helena, Mont., Montana Magazine Pub. Co.",mtu,2011,"978.6 M66m, 2011 (OVERISZE)",eng,,,,,,,,
ocn904605225,http://www.worldcat.org/oclc/904605225,,,Seriously amazing objects [videorecording (DVD)] : episode 102 - melting pot.,1026.G.1,"Falls Church, Va. : Biscuit Factory, 2013.",vau,2013,E 169.1 S48 2013 (DVD),eng,,,,,,,,
ocn905975088,http://www.worldcat.org/oclc/905975088,,,Carlos Montezuma [videorecording (DVD)] : changing is not vanishing.,1026.G.1,"[Champaign, IL?] : Big Ten Network, [2014]",ilu,2014,E 99 .Y5 C37 2014 (DVD),eng,,,,,,,,
ocn463454433,http://www.worldcat.org/oclc/463454433,"Shanks, Ralph C.",http://viaf.org/viaf/43102112,"California Indian baskets : San Diego to Santa Barbara and beyond to the San Joaquin Valley, mountains and deserts / Ralph Shanks   Lisa Woo Shanks, editor.",1028.G.31,"Novato, Calif. : Costaño Books in association with Miwok Archeological Preserve of Marin ; Seattle : Distributed by University of Washington Press, ©2010.",cau,2010,"970.655 33, S52c, 2010 ",eng,,,,,,,,
ocm39886986,http://www.worldcat.org/oclc/39886986,"Dubin, Lois Sherr.",http://viaf.org/viaf/255621477,"North American Indian jewelry and adornment : from prehistory to the present / Lois Sherr Dubin   original photography by Togashi, Paul Jones, and others.",11.C.14,"New York : Harry N. Abrams, 1999.",nyu,1999,E 98 .J48 D83 1999,eng,,,,,,,,
ocn463454433,http://www.worldcat.org/oclc/463454433,"Shanks, Ralph C.",http://viaf.org/viaf/43102112,"California Indian baskets : San Diego to Santa Barbara and beyond to the San Joaquin Valley, mountains and deserts / Ralph Shanks   Lisa Woo Shanks, editor.",116.L.113,"Novato, Calif. : Costaño Books in association with Miwok Archeological Preserve of Marin ; Seattle : Distributed by University of Washington Press, ©2010.",cau,2010,"970.655 33, S52c, 2010 ",eng,,,,,,,,
ocm28846332,http://www.worldcat.org/oclc/28846332,"Moure, Nancy Dustin Wall, author.",http://viaf.org/viaf/65246349,"Loners, mavericks, and dreamers : art in Los Angeles before 1900 / by Nancy Dustin Wall Moure.",116.L.78,"Laguna Beach, Calif. : Laguna Art Museum, ©1993.",cau,1993,"709.794 9307479476, M68l, 1993 ",eng,,,,,,,,
ocm793720666,http://www.worldcat.org/oclc/793720666,"Davidson, Jacqueline.",http://viaf.org/viaf/14303317,Nets through time : the technique and art of knotted netting / Jacqueline Davidson.,120.L.11,"Rockland, Me. : Maine Authors Publishing, ©2012.",meu,2012,"746.4224 D252n, 2012",eng,,,,,,,,
ocm37588379,http://www.worldcat.org/oclc/37588379,,,Silver & gold : cased images of the California gold rush / edited by Drew Heath Johnson & Marcia Eymann.,1346.G.1,"Iowa City, IA : University of Iowa Press for the Oakland Museum of California, ©1998.",iau,1998,"979.404 S54g, 1998 ",eng,,,,,,,,
ocn978452286,http://www.worldcat.org/oclc/978452286,"Blackburn, Thomas C., author.",http://experiment.worldcat.org/entity/work/data/4138008417#Person/blackburn_thomas_c,A new look at some old data : the Nisenan photographs of Alexander W. Chase / Thomas C. Blackburn.,1346.G.1,"[Banning, Calif. : Malki Museum], 2016.",cau,2016,E 99 .N73 B45 2016,eng,,,,,,,,
ocn930798100,http://www.worldcat.org/oclc/930798100,"Madley, Benjamin, author.",https://www.worldcat.org/wcidentities/lccn-no2016074636,"An American genocide : the United States and the California Indian catastrophe, 1846-1873 / Benjamin Madley.",1346.G.1,"New Haven : Yale University Press, [2016]",ctu,2016,E 78 .C15 M33 2016,eng,,,,,,,,
